category,n,graph6,band_01neg
con,12,K?~~~~{~Nf}^,2
con,12,K?~~~~}~^v}~,2
con,12,K?~~~~~~~~~~,2
con,12,K@?N~z{~~~~~,2
con,12,K@?N~z~~~~~~,2
con,12,K@?N~~{~Nw^`,2
con,12,K@?N~~}~Fy~e,2
con,12,K@?N~~}~^~~~,2
con,12,K@?N~~}~fz~m,2
con,12,K@?N~~~~Fw~b,2
con,12,K@?N~~~~fy~f,2
con,12,K@?N~~~~v|~n,2
con,12,K@?N~~~~~~~~,2
con,12,K@Kx`fKrMEWX,2
con,12,K@K~ffNr~w^`,2
con,12,K@~vf~}~~~~~,2
con,12,K@~vf~~~v|~~,2
con,12,K@~vf~~~~~~~,2
con,12,K@~v~~~~~~~~,2
con,12,K@~~ff~~v~~~,2
con,12,K@~~ff~~~~^z,2
con,12,K@~~ff~~~~~~,2
con,12,K@~~vn~~~~~~,2
con,12,K@~~~zz|~~~~,2
con,12,K@~~~~{~Nf}^,2
con,12,K@~~~~}~^v}~,2
con,12,K@~~~~~~~~~~,2
con,12,KFzfFB_Fw~b~,2
con,12,KFz~~~~~~~~~,2
con,12,KF~fNB`Fw~b~,2
con,12,KF~v^~~~~~~~,2
con,12,KF~~vnn~~~~~,2
con,12,KF~~~zz|~^~~,2
con,12,KF~~~~~~~~~~,2
con,12,K]?@x~?oGX`f,2
con,12,K]?GW^KrHeEX,2
con,12,K]oxxoxp}Nw~,2
con,12,K]r???rKw]@x,2
con,12,K]r@`_KB?F_^,2
con,12,K]r@`_KBGF_^,2
con,12,K]r@`cKBGF_^,2
con,12,K]r@x{{NMFw^,2
con,12,K]r@x~KrHfe^,2
con,12,K]r@x~~~v~~~,2
con,12,K]r@x~~~~~^z,2
con,12,K]r@x~~~~~~~,2
con,12,K]rEE?~Nx}Fx,2
con,12,K]rF~~{~H~f~,2
con,12,K^z]E?fHwvb^,2
con,12,K^zfE~]v`~f~,2
con,12,K^~~~~~~~~~~,2
con,12,K_GTderRaYhf,2
con,12,K`?N~z{~~~~~,2
con,12,K`?N~z~~~~~~,2
con,12,K`?N~~}~Fy~e,2
con,12,K`?N~~}~^~~~,2
con,12,K`?N~~}~fz~m,2
con,12,K`?N~~~~Fw~b,2
con,12,K`?N~~~~fy~f,2
con,12,K`?N~~~~v|~n,2
con,12,K`?N~~~~~~~~,2
con,12,K`AZTUlUqx}o,2
con,12,K`ic{xkZAfi],2
con,12,K`ikslhXiqit,2
con,12,K`iksliXYtIj,2
con,12,K`ilDDZVayi{,2
con,12,K`il\\WTIdiN,2
con,12,K`~v~~~~~~~~,2
con,12,K`~~vn~~~~~~,2
con,12,K`~~~zz|~~~~,2
con,12,K`~~~~}~^v}~,2
con,12,K`~~~~~~~~~~,2
con,12,Ko?WrAXeZKKp,2
con,12,KoLScdIHYRCr,2
con,12,KoLScdIHiRCj,2
con,12,KoLUtnYlZ[ll,2
con,12,KoLUuuulZ\Lj,2
con,12,KoSs[]N[rdmN,2
con,12,KoSv~z{~~~~~,2
con,12,KoSv~z~~~~~~,2
con,12,KoSv~~}~^~~~,2
con,12,KoSv~~}~fz~m,2
con,12,KoSv~~~~fy~f,2
con,12,KoSv~~~~v|~n,2
con,12,KoSv~~~~~~~~,2
con,12,Kr?F~}[fJXlf,2
con,12,Kr?GW^KoxwEX,2
con,12,Kr?K{|nZ~w^`,2
con,12,KreRBA^fz]Lx,2
con,12,KreRZZo{?^`~,2
con,12,KreZZ^~~v~~~,2
con,12,KreZZ^~~~}^x,2
con,12,KreZZ^~~~~^z,2
con,12,KreZZ^~~~~~~,2
con,12,Kre[cdnZz]Lx,2
con,12,Kre[{|kZJFk^,2
con,12,Krr@`a^fr^Ly,2
con,12,Kr~vfa^fz^l~,2
con,12,Kr~~~~~~~~~~,2
con,12,Ks?GOObDRCI_,2
con,12,Ks@XrRIjIfEj,2
con,12,Ks@ipqF`zpNB,2
con,12,Ks@iprcxGvBZ,2
con,12,Ks\s[]N[zfm^,2
con,12,Ks\v~z~~~~~~,2
con,12,Ks\v~~}~^~~~,2
con,12,Ks\v~~~~v|~n,2
con,12,Ks\v~~~~~~~~,2
con,12,Ks_?BLUR`wFO,2
con,12,Ks_?BLeF_{N?,2
con,12,Ks_GagjLASko,2
con,12,Ks`zrqF`zpnF,2
con,12,Ks`zrrcxGvb^,2
con,12,Ks`zrr~~v~~~,2
con,12,Ks`zrr~~~}^x,2
con,12,Ks`zrr~~~~^z,2
con,12,Ks`zrr~~~~~~,2
con,12,Ksa?BtuZa{Fo,2
con,12,Ksc?JLSIhgHP,2
con,12,Ksc?JLSQhSE`,2
con,12,KseY`TIKZLKi,2
con,12,KseY`dIIZLKi,2
con,12,KsfyACbGypfW,2
con,12,KtaHGthYaiis,2
con,12,KtaHGtp[iYHp,2
con,12,KtiWBDRQqLfo,2
con,12,Kv~vFVeVx~B~,2
con,12,Kv~~FFbVx~B~,2
con,12,KwC[KLQIYbDR,2
con,12,KwC[KLQIibDJ,2
con,12,KwC]tnYlZ[ll,2
con,12,KwC]uuulZ\Lj,2
con,12,KwC^~z{~~~~~,2
con,12,KwC^~z~~~~~~,2
con,12,KwC^~~}~^~~~,2
con,12,KwC^~~}~fz~m,2
con,12,KwC^~~~~fy~f,2
con,12,KwC^~~~~v|~n,2
con,12,KwC^~~~~~~~~,2
con,12,K{S~~z~~~~~~,2
con,12,K{S~~~}~^~~~,2
con,12,K{S~~~~~v|~n,2
con,12,K{S~~~~~~~~~,2
con,12,K{cAGgeBQSeK,2
con,12,K{cAHKSBJ@bW,2
con,12,K{dHk@RTXVDj,2
con,12,K{eY`dIPhRCj,2
con,12,K{fw?DbWwuBX,2
con,12,K{~va{~~~~~~,2
con,12,K{~~vrv|q~f~,2
con,12,K{~~~rt{y~f~,2
con,12,K}a\QtsJaNfM,2
con,12,K}akrT[LaNfM,2
con,12,K}l{KLJQxfe^,2
con,12,K}l}]]vlzvn^,2
con,12,K}l~~~~~~~~~,2
con,12,K}mCB|MR`leu,2
con,12,K}meG|wX_f`n,2
con,12,K}nLaXKKxf?~,2
con,12,K}nTQTKKxj?~,2
con,12,K}nTRDdEox_~,2
con,12,K}ox~~}~~~~~,2
con,12,K}ox~~~~v|~~,2
con,12,K}ox~~~~~~~~,2
con,12,K}q|r|}~~~~~,2
con,12,K}rD|y{^z~N{,2
con,12,K}ut^@VRxufl,2
con,12,K~?GW^HphrEr,2
con,12,K~?GW^KiijEZ,2
con,12,K~_YX^DhirfV,2
con,12,K~rHx~~~v~~~,2
con,12,K~rHx~~~~~^z,2
con,12,K~rHx~~~~~~~,2
con,12,K~rK@[yLg}G^,2
con,12,K~rLKs~Xquff,2
con,12,K~rMEC~Nx}Fx,2
con,12,K~z\ShjTpNb^,2
con,12,K~z\cXrRpVa~,2
con,12,K~z\c\qRXVa~,2
con,12,K~z\z~~~~~~~,2
con,12,K~ze}y~nr~n},2
con,12,K~~LnNwFy^e~,2
con,12,K~~v]}~^~~~~,2
con,12,K~~{ACbCwV_~,2
con,12,K~~}DCZDw^k^,2
con,12,K~~}ECrKw^`~,2
con,12,K~~~FFbFw~b~,2
con,12,K~~~ffNrx~f~,2
con,12,K~~~vnnv|~n~,2
con,12,K?B~vr~~v~~~,3
con,12,K?B~vr~~~~~~,3
con,12,K?F~vr~~v~~~,3
con,12,K?F~vr~~~~~~,3
con,12,K?~~vrv|v~~~,3
